niters,time,success,depth
100,145.75472497940063,16,4.0
200,248.95838594436646,27,5.185185432434082
300,348.62380170822144,33,5.242424011230469
400,455.2589659690857,35,5.485714435577393
500,566.2628719806671,39,5.692307949066162
600,755.0506618022919,37,5.405405044555664
700,1030.057255744934,37,5.29729700088501
800,1145.9224679470062,38,5.3947367668151855
900,1661.0993778705597,40,5.5
1000,1717.8397295475006,41,5.5853657722473145
